client_id,first_name,last_name,dob,ssn_last4,referral_source,referral_date,case_type,assigned_worker,phone,zip_code
CW-10099,Ruth,King,2015-05-20,5526,Court Order,2023-09-07,Physical Abuse,"Patel, S.",312-937-7658,60630
CW-10103,George,Reed,2007-01-05,3579,DHS Hotline,2023-11-03,Supervised Visitation,"Kim, J.",312-877-7947,60630
CW-10089,Jennifer,Stewart,2012-04-27,8541,Family Member,2024-04-08,Neglect Investigation,"Patel, S.",312-608-6378,60622
CW-10003,Shirley,Morgan,2011-06-14,2146,Community Center,2024-10-11,Physical Abuse,"O'Brien, K.",312-719-6067,60639
CW-10122,Donna,Ramos,2018-05-19,1986,DHS Hotline,2023-04-21,Family Preservation,"O'Brien, K.",312-876-2330,60619
CW-10023,Ashley,Thompson,2007-03-01,7693,Therapist,2024-05-02,Family Preservation,"O'Brien, K.",312-923-5632,60640
CW-10091,Nicholas,Taylor,2005-07-19,1444,Police Department,2024-03-28,Reunification,"Williams, D.",312-251-5262,60626
CW-10027,Larry,Bailey,2015-08-20,9270,Pediatrician,2024-03-24,Reunification,"Kim, J.",312-465-5050,60644
CW-10090,Angela,Martinez,2014-08-15,1616,School District 204,2024-05-03,Physical Abuse,"Adams, R.",312-808-9307,60626
CW-10009,Michael,Adams,2006-05-12,7141,Pediatrician,2023-04-17,Foster Care Placement,"Adams, R.",312-898-3950,60619
CW-10038,Zachary,Morris,2008-04-13,6881,DHS Hotline,2024-12-10,Neglect Investigation,"Rivera, C.",312-481-1132,60636
CW-10085,Mark,Taylor,2016-09-17,5465,Hospital ER,2024-08-26,Supervised Visitation,"Jackson, L.",312-317-8673,60616
CW-10121,David,Clark,2018-07-25,1320,DHS Hotline,2024-08-01,Kinship Care,"O'Brien, K.",312-971-7389,60645
CW-10026,Nicole,Miller,2015-02-11,2548,Court Order,2024-05-09,Emotional Abuse,"Jackson, L.",312-283-3317,60625
CW-10056,Karen,Roberts,2011-10-17,3236,Police Department,2024-07-11,Voluntary Services,"O'Brien, K.",312-202-5634,60641
CW-10045,Olivia,Peterson,2011-10-07,4817,Family Member,2023-10-01,Supervised Visitation,"Williams, D.",312-333-9850,60622
CW-10042,Brian,Allen,2012-02-24,4155,Family Member,2023-12-18,Emotional Abuse,"Patel, S.",312-421-8933,60622
CW-10080,Virginia,Miller,2008-01-13,6559,Police Department,2023-04-07,Voluntary Services,"Kim, J.",312-343-7912,60619
CW-10112,Richard,Hernandez,2007-07-04,7105,Hospital ER,2023-10-18,Voluntary Services,"Jackson, L.",312-886-3002,60628
CW-10101,Debra,Wright,2006-03-16,9502,Community Center,2024-05-06,Foster Care Placement,"Kim, J.",312-293-8700,60625
CW-10082,Kenneth,Garcia,2006-09-10,3068,Community Center,2024-02-28,Neglect Investigation,"Adams, R.",312-491-8690,60630
CW-10061,Amanda,Lewis,2007-11-02,1508,Self-Referral,2023-01-20,Emotional Abuse,"Patel, S.",312-329-8758,60639
CW-10067,Donna,Ramos,2020-03-15,9824,Self-Referral,2023-05-02,Voluntary Services,"Rivera, C.",312-666-6272,60645
CW-10123,George,Carter,2014-08-17,8048,Police Department,2023-11-21,Voluntary Services,"Patel, S.",312-640-8398,60621
CW-10113,Joseph,Morales,2019-02-03,6277,DHS Hotline,2023-02-05,Supervised Visitation,"Adams, R.",312-848-9984,60640
CW-10035,Daniel,Parker,2010-12-17,5425,DHS Hotline,2024-08-14,Supervised Visitation,"Jackson, L.",312-451-2419,60622
CW-10077,Rebecca,Adams,2017-12-10,3085,Self-Referral,2024-11-13,Emotional Abuse,"Adams, R.",312-782-5930,60626
CW-10065,Anthony,Richardson,2010-12-15,1715,Court Order,2024-05-25,Family Preservation,"Kim, J.",312-825-5668,60642
CW-10016,Karen,Lewis,2017-09-12,2479,Pediatrician,2023-05-18,Physical Abuse,"Kim, J.",312-577-5295,60636
CW-10083,Brenda,Martin,2013-05-20,4450,Faith Organization,2024-04-22,Supervised Visitation,"Murphy, T.",312-700-5114,60645
CW-10067,Donna,Ramos,2020-03-15,9824,Therapist,2024-06-18,Voluntary Services,"Rivera, C.",312-666-6272,60645
CW-10021,Samuel,Cruz,2018-05-07,9394,Police Department,2024-07-04,Supervised Visitation,"Adams, R.",312-698-9633,60639
CW-10062,Joseph,Kim,2018-06-24,6139,Pediatrician,2023-07-19,Family Preservation,"O'Brien, K.",312-245-8144,60614
CW-10075,Shirley,Edwards,2008-04-08,2049,Family Member,2023-10-18,Family Preservation,"Adams, R.",312-425-1117,60616
CW-10126,Brian,Baker,2012-06-25,3754,Police Department,2023-09-17,Family Preservation,"Jackson, L.",312-559-3419,60621
CW-10064,Richard,Green,2013-06-04,7622,Court Order,2023-11-28,Voluntary Services,"Kim, J.",312-623-1888,60620
CW-10120,Christine,Howard,2016-08-18,9698,Family Member,2024-12-18,Kinship Care,"Jackson, L.",312-919-8434,60622
CW-10036,Maria,Murphy,2018-03-05,7229,Court Order,2023-09-18,Kinship Care,"Chen, M.",312-606-1693,60628
CW-10019,Virginia,Rodriguez,2013-06-21,9346,Pediatrician,2024-01-04,Supervised Visitation,"Williams, D.",312-794-5349,60615
CW-10054,Joseph,Jackson,2013-04-06,3504,Community Center,2023-03-25,Reunification,"Kim, J.",312-972-8354,60639
CW-10128,Virginia,Miller,2020-05-25,4770,DHS Hotline,2024-04-21,Family Preservation,"Adams, R.",312-456-3240,60638
CW-10009,Michael,Adams,2006-05-12,7141,Pediatrician,2023-04-17,Foster Care Placement,"Adams, R.",312-898-3950,60619
CW-10109,Betty,Thomas,2019-02-22,4475,Community Center,2023-01-26,Kinship Care,"Patel, S.",312-328-4362,60616
