client_id,first_name,last_name,dob,age,gender,race_ethnicity,zip_code,referral_date,case_type,caseworker_id,income,num_children,phone,status
1001,Maria,Gonzalez,1985-03-14,41,Female,Hispanic/Latino,10452,2024-06-10,Child Welfare,CW-201,32000,3,2125559012,Active
1002,James,Williams,1978-11-22,47,Male,Black/African American,30312,2024-01-15,Substance Abuse,CW-105,28500,2,4045558823,Active
1003,Sarah,Thompson,1990-07-08,35,Female,White,60614,2023-11-20,Mental Health,CW-302,45000,1,7735554567,Closed
1004,David,Chen,1982-05-30,43,Male,Asian,94102,2024-03-05,Housing Assistance,CW-410,51000,0,4155551234,Active
1005,Latoya,Jackson,1995-01-17,31,Female,Black/African American,48201,2024-08-12,Child Welfare,CW-201,19500,4,3135559876,Pending
1006,Robert,Martinez,1970-09-25,55,Male,Hispanic/Latino,85004,2024-02-28,Elder Care,CW-112,22000,0,6025553344,Closed
1007,Emily,Nguyen,1988-12-03,37,Female,Asian,77001,2024-05-19,Domestic Violence,CW-305,38000,2,7135557788,Active
1008,Michael,Brown,1965-04-11,60,Male,Black/African American,19104,2024-07-01,Housing Assistance,CW-410,15000,0,2155552233,Active
1009,Jennifer,Davis,1992-08-20,33,Female,White,02134,2024-09-14,Mental Health,CW-302,42000,1,6175558899,Pending
1010,Carlos,Rivera,1980-06-15,45,Male,Hispanic/Latino,33125,2024-04-22,Substance Abuse,CW-105,27000,3,3055551122,Active
1011,Angela,White,1975-02-28,51,Female,Black/African American,30303,2023-12-08,Child Welfare,CW-201,33500,2,4045556677,Closed
1012,Kevin,Lee,1998-10-09,27,Male,Asian,10013,2024-01-30,Mental Health,CW-302,55000,0,2125553344,Active
1013,Patricia,Moore,1960-03-22,65,Female,White,85281,2024-06-15,Elder Care,CW-112,18000,0,4805559988,Active
1014,,Robinson,1987-07-14,38,Female,Black/African American,60616,2024-03-11,Domestic Violence,CW-305,29000,2,7735552211,Active
1015,Thomas,Garcia,1983-11-05,42,Male,Hispanic/Latino,77004,2024-08-25,Housing Assistance,CW-410,24000,1,7135554455,Pending
1016,Lisa,Anderson,1991-09-18,34,Female,White,02139,2024-05-03,Child Welfare,CW-201,41000,3,6175557766,Active
1017,Marcus,,1976-04-30,49,Male,Black/African American,48202,2024-02-14,Substance Abuse,CW-105,20000,1,3135558844,Active
1018,Rosa,Hernandez,1984-08-12,41,Female,Hispanic/Latino,33126,2024-07-20,Mental Health,CW-302,36000,2,3055559933,Closed
1019,Steven,Taylor,1968-01-25,58,Male,White,19103,2024-10-01,Elder Care,CW-112,16500,0,2155551144,Active
1020,Diana,Kim,1993-06-07,32,Female,Asian,94103,2024-04-08,Domestic Violence,CW-305,48000,1,4155552266,Pending
1021,Anthony,Clark,1979-12-19,46,Male,White,60618,2024-01-22,Housing Assistance,CW-410,31000,2,7735558800,Active
1022,Michelle,Lewis,1986-02-14,40,Female,Black/African American,30305,2024-06-30,Child Welfare,CW-201,26000,4,4045553355,Active
1023,Raymond,Walker,1972-10-08,53,Male,White,85003,2024-09-05,Substance Abuse,CW-105,23000,0,6025557722,Closed
1024,Stephanie,Hall,1994-05-21,31,Female,White,10001,2024-03-18,Mental Health,CW-302,52000,0,2125556688,Active
1025,George,Young,1961-07-30,64,Male,White,02138,2024-08-10,Elder Care,CW-112,19000,0,6175554433,Pending
1026,Brenda,Allen,1989-11-12,36,Female,Black/African American,77002,2024-05-27,Domestic Violence,CW-305,34000,1,7135553322,Active
1027,Frank,King,1977-03-03,48,Male,White,48203,2024-02-06,Housing Assistance,CW-410,28000,2,3135556611,Active
1028,Cynthia,Wright,1983-09-26,42,Female,White,33127,2024-07-14,Child Welfare,CW-201,37000,3,3055558877,Closed
1029,Daniel,Lopez,1996-01-08,30,Male,Hispanic/Latino,19107,2024-10-20,Mental Health,CW-302,44000,0,2155559966,Active
1030,Tamika,Scott,1974-06-17,51,Female,Black/African American,94104,2024-04-02,Substance Abuse,CW-105,21000,1,4155557744,Pending
1031,Gregory,Green,1981-08-04,44,Male,White,60620,2024-01-09,Elder Care,CW-112,17500,0,7735551133,Active
1032,Nicole,Adams,1990-12-29,35,Female,White,30308,2024-06-22,Domestic Violence,CW-305,39000,1,4045552244,Active
1033,Willie,Baker,1967-05-13,58,Male,Black/African American,85006,2024-09-17,Housing Assistance,CW-410,14000,0,6025558866,Closed
1034,Karen,Nelson,1985-10-01,40,Female,White,10003,2024-03-25,Child Welfare,CW-201,46000,2,2125554477,Active
1035,Jose,Ramirez,1992-03-19,33,Male,Hispanic/Latino,77005,2024-08-03,Mental Health,CW-302,30000,1,7135556699,Pending
1036,Sandra,Mitchell,1971-07-22,54,Female,White,02140,2024-05-11,Substance Abuse,CW-105,25000,0,6175553388,Active
1037,Philip,Perez,1988-04-06,38,Male,Hispanic/Latino,48204,2024-02-20,Elder Care,CW-112,20500,0,3135554477,Active
