student_id,student_name,semester,competency,score,assessor
S001,Maria Garcia,Fall_2023,Ethics,4,Faculty
S001,Maria Garcia,Fall_2023,Diversity,3,Faculty
S001,Maria Garcia,Fall_2023,Human_Rights,3,Field_Instructor
S001,Maria Garcia,Fall_2023,Research,4,Field_Instructor
S001,Maria Garcia,Fall_2023,Policy,4,Field_Instructor
S001,Maria Garcia,Spring_2024,Ethics,2,Faculty
S001,Maria Garcia,Spring_2024,Diversity,4,Field_Instructor
S001,Maria Garcia,Spring_2024,Human_Rights,2,Field_Instructor
S001,Maria Garcia,Spring_2024,Research,5,Field_Instructor
S001,Maria Garcia,Spring_2024,Policy,4,Field_Instructor
S002,James Wilson,Fall_2023,Ethics,4,Field_Instructor
S002,James Wilson,Fall_2023,Diversity,4,Field_Instructor
S002,James Wilson,Fall_2023,Human_Rights,4,Faculty
S002,James Wilson,Fall_2023,Research,4,Faculty
S002,James Wilson,Fall_2023,Policy,5,Field_Instructor
S002,James Wilson,Spring_2024,Ethics,4,Faculty
S002,James Wilson,Spring_2024,Diversity,3,Faculty
S002,James Wilson,Spring_2024,Human_Rights,3,Faculty
S002,James Wilson,Spring_2024,Research,4,Field_Instructor
S002,James Wilson,Spring_2024,Policy,1,Field_Instructor
S003,Aisha Johnson,Fall_2023,Ethics,2,Field_Instructor
S003,Aisha Johnson,Fall_2023,Diversity,4,Field_Instructor
S003,Aisha Johnson,Fall_2023,Human_Rights,5,Field_Instructor
S003,Aisha Johnson,Fall_2023,Research,5,Faculty
S003,Aisha Johnson,Fall_2023,Policy,3,Faculty
S003,Aisha Johnson,Spring_2024,Ethics,5,Faculty
S003,Aisha Johnson,Spring_2024,Diversity,4,Field_Instructor
S003,Aisha Johnson,Spring_2024,Human_Rights,4,Faculty
S003,Aisha Johnson,Spring_2024,Research,5,Field_Instructor
S003,Aisha Johnson,Spring_2024,Policy,5,Field_Instructor
S004,David Chen,Fall_2023,Ethics,3,Field_Instructor
S004,David Chen,Fall_2023,Diversity,4,Field_Instructor
S004,David Chen,Fall_2023,Research,3,Field_Instructor
S004,David Chen,Fall_2023,Policy,4,Field_Instructor
S004,David Chen,Spring_2024,Ethics,4,Faculty
S004,David Chen,Spring_2024,Diversity,4,Faculty
S004,David Chen,Spring_2024,Research,5,Field_Instructor
S004,David Chen,Spring_2024,Policy,2,Faculty
S005,Sarah Thompson,Fall_2023,Ethics,5,Field_Instructor
S005,Sarah Thompson,Fall_2023,Diversity,1,Field_Instructor
S005,Sarah Thompson,Fall_2023,Human_Rights,4,Faculty
S005,Sarah Thompson,Fall_2023,Research,3,Faculty
S005,Sarah Thompson,Fall_2023,Policy,4,Faculty
S005,Sarah Thompson,Spring_2024,Ethics,4,Field_Instructor
S005,Sarah Thompson,Spring_2024,Diversity,2,Field_Instructor
S005,Sarah Thompson,Spring_2024,Human_Rights,4,Faculty
S005,Sarah Thompson,Spring_2024,Research,4,Field_Instructor
S005,Sarah Thompson,Spring_2024,Policy,4,Field_Instructor
S006,Carlos Rodriguez,Fall_2023,Ethics,3,Field_Instructor
S006,Carlos Rodriguez,Fall_2023,Diversity,5,Field_Instructor
S006,Carlos Rodriguez,Fall_2023,Human_Rights,4,Field_Instructor
S006,Carlos Rodriguez,Fall_2023,Research,4,Faculty
S006,Carlos Rodriguez,Fall_2023,Policy,5,Field_Instructor
S006,Carlos Rodriguez,Spring_2024,Ethics,5,Field_Instructor
S006,Carlos Rodriguez,Spring_2024,Diversity,5,Field_Instructor
S006,Carlos Rodriguez,Spring_2024,Human_Rights,5,Field_Instructor
S006,Carlos Rodriguez,Spring_2024,Research,3,Faculty
S006,Carlos Rodriguez,Spring_2024,Policy,5,Faculty
S007,Emily Davis,Fall_2023,Ethics,5,Field_Instructor
S007,Emily Davis,Fall_2023,Diversity,3,Field_Instructor
S007,Emily Davis,Fall_2023,Human_Rights,4,Field_Instructor
S007,Emily Davis,Fall_2023,Research,5,Field_Instructor
S007,Emily Davis,Fall_2023,Policy,3,Faculty
S007,Emily Davis,Spring_2024,Ethics,3,Field_Instructor
S007,Emily Davis,Spring_2024,Diversity,3,Field_Instructor
S007,Emily Davis,Spring_2024,Human_Rights,4,Faculty
S007,Emily Davis,Spring_2024,Research,5,Faculty
S007,Emily Davis,Spring_2024,Policy,4,Faculty
S008,Michael Brown,Fall_2023,Ethics,4,Faculty
S008,Michael Brown,Fall_2023,Diversity,5,Field_Instructor
S008,Michael Brown,Fall_2023,Human_Rights,5,Faculty
S008,Michael Brown,Fall_2023,Research,3,Faculty
S008,Michael Brown,Fall_2023,Policy,2,Faculty
S008,Michael Brown,Spring_2024,Ethics,3,Faculty
S008,Michael Brown,Spring_2024,Diversity,4,Field_Instructor
S008,Michael Brown,Spring_2024,Human_Rights,4,Field_Instructor
S008,Michael Brown,Spring_2024,Research,3,Faculty
S008,Michael Brown,Spring_2024,Policy,1,Field_Instructor
S009,Fatima Ali,Fall_2023,Ethics,4,Field_Instructor
S009,Fatima Ali,Fall_2023,Diversity,5,Faculty
S009,Fatima Ali,Fall_2023,Human_Rights,4,Field_Instructor
S009,Fatima Ali,Fall_2023,Research,4,Faculty
S009,Fatima Ali,Fall_2023,Policy,4,Faculty
S009,Fatima Ali,Spring_2024,Ethics,3,Faculty
S009,Fatima Ali,Spring_2024,Diversity,4,Field_Instructor
S009,Fatima Ali,Spring_2024,Human_Rights,4,Faculty
S009,Fatima Ali,Spring_2024,Research,4,Field_Instructor
S010,Robert Martinez,Fall_2023,Ethics,4,Faculty
S010,Robert Martinez,Fall_2023,Diversity,4,Field_Instructor
S010,Robert Martinez,Fall_2023,Human_Rights,3,Field_Instructor
S010,Robert Martinez,Fall_2023,Research,4,Faculty
S010,Robert Martinez,Fall_2023,Policy,4,Faculty
S010,Robert Martinez,Spring_2024,Ethics,4,Faculty
S010,Robert Martinez,Spring_2024,Diversity,5,Field_Instructor
S010,Robert Martinez,Spring_2024,Human_Rights,4,Faculty
S010,Robert Martinez,Spring_2024,Research,4,Faculty
S010,Robert Martinez,Spring_2024,Policy,2,Field_Instructor
S011,Jennifer Lee,Fall_2023,Ethics,4,Field_Instructor
S011,Jennifer Lee,Fall_2023,Diversity,5,Field_Instructor
S011,Jennifer Lee,Fall_2023,Human_Rights,2,Field_Instructor
S011,Jennifer Lee,Fall_2023,Research,5,Field_Instructor
S011,Jennifer Lee,Fall_2023,Policy,4,Field_Instructor
S011,Jennifer Lee,Spring_2024,Ethics,4,Faculty
S011,Jennifer Lee,Spring_2024,Human_Rights,4,Field_Instructor
S011,Jennifer Lee,Spring_2024,Research,3,Field_Instructor
S011,Jennifer Lee,Spring_2024,Policy,5,Field_Instructor
S012,Anthony Williams,Fall_2023,Ethics,5,Field_Instructor
S012,Anthony Williams,Fall_2023,Diversity,3,Faculty
S012,Anthony Williams,Fall_2023,Human_Rights,2,Field_Instructor
S012,Anthony Williams,Fall_2023,Research,5,Field_Instructor
S012,Anthony Williams,Fall_2023,Policy,4,Faculty
S012,Anthony Williams,Spring_2024,Ethics,4,Faculty
S012,Anthony Williams,Spring_2024,Diversity,5,Faculty
S012,Anthony Williams,Spring_2024,Human_Rights,4,Faculty
S012,Anthony Williams,Spring_2024,Research,5,Faculty
S012,Anthony Williams,Spring_2024,Policy,5,Faculty
S013,Priya Patel,Fall_2023,Ethics,4,Field_Instructor
S013,Priya Patel,Fall_2023,Diversity,5,Faculty
S013,Priya Patel,Fall_2023,Human_Rights,5,Faculty
S013,Priya Patel,Fall_2023,Research,4,Faculty
S013,Priya Patel,Fall_2023,Policy,4,Faculty
S013,Priya Patel,Spring_2024,Ethics,3,Faculty
S013,Priya Patel,Spring_2024,Diversity,3,Field_Instructor
S013,Priya Patel,Spring_2024,Human_Rights,3,Field_Instructor
S013,Priya Patel,Spring_2024,Research,4,Field_Instructor
S013,Priya Patel,Spring_2024,Policy,4,Field_Instructor
S014,Christopher Jones,Fall_2023,Ethics,4,Faculty
S014,Christopher Jones,Fall_2023,Diversity,4,Faculty
S014,Christopher Jones,Fall_2023,Human_Rights,2,Faculty
S014,Christopher Jones,Fall_2023,Research,4,Field_Instructor
S014,Christopher Jones,Fall_2023,Policy,5,Faculty
S014,Christopher Jones,Spring_2024,Ethics,4,Faculty
S014,Christopher Jones,Spring_2024,Diversity,3,Faculty
S014,Christopher Jones,Spring_2024,Human_Rights,5,Faculty
S014,Christopher Jones,Spring_2024,Research,4,Field_Instructor
S014,Christopher Jones,Spring_2024,Policy,4,Faculty
S015,Amanda Taylor,Fall_2023,Ethics,4,Field_Instructor
S015,Amanda Taylor,Fall_2023,Diversity,4,Faculty
S015,Amanda Taylor,Fall_2023,Human_Rights,4,Faculty
S015,Amanda Taylor,Fall_2023,Research,5,Field_Instructor
S015,Amanda Taylor,Fall_2023,Policy,5,Field_Instructor
S015,Amanda Taylor,Spring_2024,Ethics,2,Faculty
S015,Amanda Taylor,Spring_2024,Diversity,3,Faculty
S015,Amanda Taylor,Spring_2024,Human_Rights,3,Faculty
S015,Amanda Taylor,Spring_2024,Research,4,Field_Instructor
S015,Amanda Taylor,Spring_2024,Policy,4,Faculty
S016,Daniel Kim,Fall_2023,Ethics,5,Faculty
S016,Daniel Kim,Fall_2023,Diversity,3,Faculty
S016,Daniel Kim,Fall_2023,Human_Rights,3,Field_Instructor
S016,Daniel Kim,Fall_2023,Research,4,Field_Instructor
S016,Daniel Kim,Fall_2023,Policy,5,Faculty
S016,Daniel Kim,Spring_2024,Ethics,3,Field_Instructor
S016,Daniel Kim,Spring_2024,Diversity,5,Field_Instructor
S016,Daniel Kim,Spring_2024,Human_Rights,5,Field_Instructor
S016,Daniel Kim,Spring_2024,Research,3,Field_Instructor
S016,Daniel Kim,Spring_2024,Policy,4,Field_Instructor
S017,Rachel Anderson,Fall_2023,Ethics,3,Field_Instructor
S017,Rachel Anderson,Fall_2023,Diversity,4,Field_Instructor
S017,Rachel Anderson,Fall_2023,Human_Rights,4,Faculty
S017,Rachel Anderson,Fall_2023,Research,5,Field_Instructor
S017,Rachel Anderson,Fall_2023,Policy,4,Field_Instructor
S017,Rachel Anderson,Spring_2024,Ethics,5,Field_Instructor
S017,Rachel Anderson,Spring_2024,Diversity,5,Field_Instructor
S017,Rachel Anderson,Spring_2024,Human_Rights,4,Faculty
S017,Rachel Anderson,Spring_2024,Research,4,Faculty
S017,Rachel Anderson,Spring_2024,Policy,4,Field_Instructor
S018,Marcus Thomas,Fall_2023,Ethics,2,Field_Instructor
S018,Marcus Thomas,Fall_2023,Diversity,3,Faculty
S018,Marcus Thomas,Fall_2023,Human_Rights,5,Field_Instructor
S018,Marcus Thomas,Fall_2023,Research,5,Field_Instructor
S018,Marcus Thomas,Fall_2023,Policy,3,Faculty
S018,Marcus Thomas,Spring_2024,Ethics,4,Field_Instructor
S018,Marcus Thomas,Spring_2024,Diversity,4,Faculty
S018,Marcus Thomas,Spring_2024,Human_Rights,1,Faculty
S018,Marcus Thomas,Spring_2024,Research,5,Field_Instructor
S018,Marcus Thomas,Spring_2024,Policy,4,Faculty
S019,Linda Nguyen,Fall_2023,Ethics,4,Faculty
S019,Linda Nguyen,Fall_2023,Diversity,4,Faculty
S019,Linda Nguyen,Fall_2023,Human_Rights,3,Faculty
S019,Linda Nguyen,Fall_2023,Research,4,Faculty
S019,Linda Nguyen,Fall_2023,Policy,4,Faculty
S019,Linda Nguyen,Spring_2024,Ethics,3,Field_Instructor
S019,Linda Nguyen,Spring_2024,Diversity,5,Field_Instructor
S019,Linda Nguyen,Spring_2024,Human_Rights,3,Faculty
S019,Linda Nguyen,Spring_2024,Research,3,Faculty
S019,Linda Nguyen,Spring_2024,Policy,4,Faculty
S020,Brian Jackson,Fall_2023,Ethics,3,Faculty
S020,Brian Jackson,Fall_2023,Diversity,5,Field_Instructor
S020,Brian Jackson,Fall_2023,Research,4,Faculty
S020,Brian Jackson,Fall_2023,Policy,5,Faculty
S020,Brian Jackson,Spring_2024,Ethics,3,Faculty
S020,Brian Jackson,Spring_2024,Diversity,4,Field_Instructor
S020,Brian Jackson,Spring_2024,Human_Rights,2,Faculty
S020,Brian Jackson,Spring_2024,Research,4,Field_Instructor
S020,Brian Jackson,Spring_2024,Policy,4,Faculty
S021,Stephanie White,Fall_2023,Ethics,4,Field_Instructor
S021,Stephanie White,Fall_2023,Diversity,2,Field_Instructor
S021,Stephanie White,Fall_2023,Human_Rights,4,Field_Instructor
S021,Stephanie White,Fall_2023,Research,3,Faculty
S021,Stephanie White,Fall_2023,Policy,4,Faculty
S021,Stephanie White,Spring_2024,Ethics,4,Faculty
S021,Stephanie White,Spring_2024,Diversity,4,Faculty
S021,Stephanie White,Spring_2024,Human_Rights,3,Faculty
S021,Stephanie White,Spring_2024,Research,3,Field_Instructor
S021,Stephanie White,Spring_2024,Policy,3,Field_Instructor
S022,Kevin Harris,Fall_2023,Ethics,3,Faculty
S022,Kevin Harris,Fall_2023,Diversity,3,Faculty
