childpartyid,src_record_id,genderdesc,birth_dt,hispanic_latino_txt,urm_indicator
100001,1100001,f,12/07/2016,No,0
100002,1100002,f,12/15/2015,No,0
100003,1100003,f,02/25/2006,No,0
100004,1100004,m,02/27/2014,No,0
100005,1100005,m,06/21/2012,No,0
100006,1100006,m,09/02/2006,No,0
100007,1100007,m,07/21/2014,No,0
100008,1100008,f,07/17/2015,Yes,0
100009,1100009,f,04/07/2011,Yes,0
100010,1100010,m,05/04/2016,No,0
100011,1100011,f,03/25/2019,Yes,0
100012,1100012,m,10/31/2010,Yes,0
100013,1100013,f,06/10/2013,No,0
100014,1100014,f,07/27/2013,No,0
100015,1100015,m,03/17/2017,No,0
100016,1100016,f,11/07/2010,No,0
100017,1100017,f,01/11/2003,No,0
100018,1100018,m,03/31/2006,Yes,0
100019,1100019,f,04/12/2011,No,0
100020,1100020,m,06/01/2005,Yes,0
100021,1100021,f,03/21/2009,No,0
100022,1100022,m,12/21/2017,Yes,0
100023,1100023,m,05/13/2012,No,0
100024,1100024,m,06/11/2013,No,0
100025,1100025,m,01/20/2013,No,0
100026,1100026,f,08/03/2007,No,0
100027,1100027,f,02/05/2019,Yes,0
100028,1100028,f,01/08/2010,No,0
100029,1100029,m,07/28/2006,Yes,0
100030,1100030,f,09/24/2012,No,0
100031,1100031,f,03/20/2011,Yes,0
100032,1100032,m,06/21/2009,No,0
100033,1100033,f,12/03/2010,No,0
100034,1100034,m,02/24/2010,No,0
100035,1100035,f,02/04/2008,No,0
100036,1100036,f,09/10/2009,Yes,0
100037,1100037,f,05/12/2007,Yes,0
100038,1100038,m,06/03/2012,No,0
100039,1100039,f,04/21/2010,No,0
100040,1100040,f,08/31/2007,No,0
100041,1100041,f,10/14/2005,No,0
100042,1100042,f,09/25/2014,No,0
100043,1100043,m,05/11/2011,Yes,0
100044,1100044,m,04/16/2004,No,0
100045,1100045,m,05/16/2003,Yes,0
100046,1100046,f,07/04/2009,No,0
100047,1100047,f,05/23/2004,No,0
100048,1100048,f,04/20/2011,Yes,0
100049,1100049,f,08/09/2011,No,0
100050,1100050,m,05/08/2007,No,0
100051,1100051,m,10/03/2005,No,0
100052,1100052,m,04/11/2018,Yes,0
100053,1100053,f,03/14/2017,No,0
100054,1100054,f,07/12/2011,Yes,0
100055,1100055,m,09/24/2012,Yes,0
100056,1100056,f,12/15/2016,Yes,0
100057,1100057,m,09/11/2016,Yes,0
100058,1100058,m,05/07/2006,No,0
100059,1100059,f,05/01/2014,No,0
100060,1100060,f,07/29/2008,No,0
100061,1100061,f,04/04/2007,No,0
100062,1100062,f,06/15/2012,No,0
100063,1100063,m,11/07/2017,No,0
100064,1100064,f,05/05/2008,No,0
100065,1100065,m,05/02/2016,No,0
100066,1100066,f,01/06/2009,No,0
100067,1100067,m,09/16/2014,No,0
100068,1100068,f,03/27/2014,No,0
100069,1100069,f,03/29/2003,No,0
100070,1100070,m,02/27/2015,No,0
100071,1100071,f,06/13/2012,No,0
100072,1100072,m,09/20/2010,No,0
100073,1100073,f,08/08/2017,No,0
100074,1100074,m,04/22/2010,No,0
100075,1100075,f,01/24/2010,No,0
100076,1100076,m,02/16/2004,No,0
100077,1100077,m,12/14/2009,Yes,0
100078,1100078,f,11/24/2018,No,0
100079,1100079,m,02/07/2006,No,0
100080,1100080,f,05/09/2013,No,0
100081,1100081,f,02/25/2018,No,0
100082,1100082,f,02/01/2019,No,0
100083,1100083,m,01/26/2006,No,0
100084,1100084,m,03/15/2014,No,0
100085,1100085,m,09/05/2010,No,0
100086,1100086,m,09/14/2005,No,0
100087,1100087,f,10/24/2013,No,0
100088,1100088,f,08/14/2009,No,0
100089,1100089,f,07/07/2003,No,0
100090,1100090,m,01/27/2012,No,0
100091,1100091,m,09/03/2007,No,0
100092,1100092,f,12/12/2016,No,0
100093,1100093,f,01/08/2006,Yes,0
100094,1100094,f,12/21/2012,Yes,0
100095,1100095,f,07/04/2003,Yes,0
100096,1100096,m,01/06/2008,No,0
100097,1100097,m,03/06/2017,No,0
100098,1100098,f,05/29/2011,No,0
100099,1100099,f,03/16/2010,No,0
100100,1100100,m,03/20/2007,No,0
100101,1100101,f,04/18/2019,Yes,0
100102,1100102,f,06/30/2003,No,0
100103,1100103,m,11/10/2015,No,0
100104,1100104,m,11/16/2008,No,0
100105,1100105,m,05/14/2003,No,0
100106,1100106,f,12/16/2011,No,0
100107,1100107,f,10/06/2015,No,0
100108,1100108,f,07/27/2016,Yes,0
100109,1100109,m,02/21/2005,Yes,0
100110,1100110,f,06/10/2006,Yes,0
100111,1100111,f,10/01/2005,No,0
100112,1100112,f,08/19/2007,Yes,0
100113,1100113,m,07/25/2017,Yes,0
100114,1100114,m,04/20/2015,No,0
100115,1100115,f,09/03/2015,No,0
100116,1100116,f,01/02/2017,No,0
100117,1100117,m,07/26/2015,Yes,0
100118,1100118,m,05/23/2009,Yes,0
100119,1100119,f,10/13/2006,No,0
100120,1100120,f,12/22/2015,No,0
100121,1100121,f,07/28/2009,Yes,0
100122,1100122,m,07/30/2012,No,0
100123,1100123,m,02/21/2016,No,0
100124,1100124,f,11/10/2017,Yes,0
100125,1100125,f,12/19/2016,No,0
100126,1100126,f,10/26/2010,Yes,0
100127,1100127,m,06/04/2011,No,0
100128,1100128,m,07/07/2015,Yes,0
100129,1100129,f,07/20/2006,No,0
100130,1100130,m,12/07/2015,Yes,0
100131,1100131,f,12/03/2004,No,0
100132,1100132,m,02/25/2018,No,0
100133,1100133,f,05/02/2008,No,0
100134,1100134,m,08/27/2006,No,0
100135,1100135,f,01/19/2006,No,0
100136,1100136,m,06/09/2005,No,0
100137,1100137,m,02/06/2006,No,0
100138,1100138,m,09/15/2011,Yes,0
100139,1100139,m,02/22/2008,No,0
100140,1100140,m,03/21/2015,No,0
100141,1100141,f,08/03/2011,Yes,0
100142,1100142,m,04/26/2008,No,0
100143,1100143,m,09/13/2004,No,0
100144,1100144,m,10/27/2003,No,0
100145,1100145,f,07/03/2013,No,0
100146,1100146,m,02/12/2011,No,0
100147,1100147,m,07/16/2005,No,0
100148,1100148,f,11/15/2016,No,0
100149,1100149,m,03/27/2003,No,0
100150,1100150,m,03/19/2006,No,0
