childpartyid,src_record_id,genderdesc,birth_dt,hispanic_latino_txt,urm_indicator
100001,1100001,m,03/11/2020,No,0
100002,1100002,f,06/24/2022,No,0
100003,1100003,f,12/02/2011,No,0
100004,1100004,f,11/03/2012,No,0
100005,1100005,f,04/23/2020,Yes,0
100006,1100006,m,02/17/2013,No,0
100007,1100007,m,01/16/2016,Yes,0
100008,1100008,f,12/16/2012,No,0
100009,1100009,m,03/16/2019,No,0
100010,1100010,f,09/01/2020,No,0
100011,1100011,m,07/23/2013,Yes,0
100012,1100012,f,07/11/2007,No,0
100013,1100013,m,06/14/2007,No,0
100014,1100014,m,04/18/2008,No,0
100015,1100015,m,10/08/2019,No,0
100016,1100016,f,05/16/2012,No,0
100017,1100017,f,02/23/2009,No,0
100018,1100018,m,06/12/2012,No,0
100019,1100019,m,09/02/2020,Yes,0
100020,1100020,m,08/29/2016,No,0
100021,1100021,m,05/08/2006,No,0
100022,1100022,m,02/12/2007,No,0
100023,1100023,f,09/15/2021,No,0
100024,1100024,m,01/23/2014,No,0
100025,1100025,m,04/17/2018,Yes,0
100026,1100026,m,10/29/2013,No,0
100027,1100027,m,08/01/2014,No,0
100028,1100028,f,02/22/2014,No,0
100029,1100029,m,06/08/2009,No,0
100030,1100030,m,08/26/2018,No,0
100031,1100031,m,02/05/2017,No,0
100032,1100032,f,06/02/2015,No,0
100033,1100033,f,06/21/2015,No,0
100034,1100034,m,07/08/2015,No,0
100035,1100035,f,04/14/2018,No,0
100036,1100036,m,06/22/2017,No,0
100037,1100037,f,02/19/2018,No,0
100038,1100038,m,11/12/2020,No,0
100039,1100039,m,03/23/2022,Yes,0
100040,1100040,f,12/27/2017,Yes,0
100041,1100041,f,11/09/2005,Yes,0
100042,1100042,m,07/18/2012,No,0
100043,1100043,m,10/13/2007,Yes,0
100044,1100044,m,01/21/2009,No,0
100045,1100045,m,03/28/2009,Yes,0
100046,1100046,f,07/03/2008,No,0
100047,1100047,m,11/16/2007,No,0
100048,1100048,m,10/07/2021,No,0
100049,1100049,m,11/02/2011,No,0
100050,1100050,m,06/19/2016,No,0
100051,1100051,f,02/09/2010,No,0
100052,1100052,f,04/03/2007,No,0
100053,1100053,f,04/10/2019,No,0
100054,1100054,f,05/19/2017,No,0
100055,1100055,f,12/04/2007,Yes,0
100056,1100056,f,06/08/2014,No,0
100057,1100057,m,09/04/2013,No,0
100058,1100058,f,08/03/2013,Yes,0
100059,1100059,f,06/04/2014,No,0
100060,1100060,f,09/20/2007,No,0
100061,1100061,f,03/12/2012,No,0
100062,1100062,f,01/30/2008,No,0
100063,1100063,m,01/28/2014,No,0
100064,1100064,m,02/10/2013,No,0
100065,1100065,m,01/13/2014,No,0
100066,1100066,f,05/23/2010,No,0
100067,1100067,f,01/19/2022,No,0
100068,1100068,f,10/25/2014,No,0
100069,1100069,m,05/03/2007,No,0
100070,1100070,f,05/08/2020,No,0
100071,1100071,m,10/07/2013,No,0
100072,1100072,m,04/07/2022,No,0
100073,1100073,f,05/29/2014,No,0
100074,1100074,m,07/09/2012,No,0
100075,1100075,f,01/03/2007,No,0
100076,1100076,m,04/17/2010,No,0
100077,1100077,m,11/10/2018,No,0
100078,1100078,f,12/17/2019,Yes,0
100079,1100079,m,09/16/2013,No,0
100080,1100080,f,03/12/2022,Yes,0
100081,1100081,m,06/08/2010,No,0
100082,1100082,f,12/09/2012,No,0
100083,1100083,f,05/08/2018,No,0
100084,1100084,f,03/25/2021,No,0
100085,1100085,m,03/30/2018,No,0
100086,1100086,f,07/17/2008,No,0
100087,1100087,m,01/07/2013,No,0
100088,1100088,f,11/23/2020,No,0
100089,1100089,f,09/14/2021,No,0
100090,1100090,f,03/08/2019,No,0
100091,1100091,f,10/04/2008,No,0
100092,1100092,m,04/18/2007,Yes,0
100093,1100093,m,07/28/2018,Yes,0
100094,1100094,m,10/12/2017,No,0
100095,1100095,m,11/09/2021,No,0
100096,1100096,f,06/10/2012,No,0
100097,1100097,m,12/12/2010,No,0
100098,1100098,f,05/31/2010,No,0
100099,1100099,f,10/02/2011,No,0
100100,1100100,f,02/21/2016,Yes,0
100101,1100101,f,06/01/2015,No,0
100102,1100102,f,09/06/2010,No,0
100103,1100103,m,12/10/2006,No,0
100104,1100104,m,02/08/2008,No,0
100105,1100105,m,07/15/2013,No,0
100106,1100106,f,12/23/2019,No,0
100107,1100107,f,07/06/2020,No,0
100108,1100108,m,10/15/2006,No,0
100109,1100109,m,07/16/2016,No,0
100110,1100110,f,11/03/2018,No,0
100111,1100111,m,05/11/2008,No,0
100112,1100112,m,07/11/2014,No,0
100113,1100113,m,05/25/2018,No,0
100114,1100114,f,01/12/2006,No,0
100115,1100115,m,03/19/2014,No,0
100116,1100116,m,09/03/2005,No,0
100117,1100117,f,08/08/2020,Yes,0
100118,1100118,f,04/17/2008,No,0
100119,1100119,f,07/29/2020,No,0
100120,1100120,f,07/13/2018,No,0
100121,1100121,m,12/24/2010,No,0
100122,1100122,m,11/25/2016,Yes,0
100123,1100123,m,07/10/2020,Yes,0
100124,1100124,m,11/24/2012,Yes,0
100125,1100125,m,11/05/2005,No,0
100126,1100126,m,10/24/2019,No,0
100127,1100127,f,09/19/2009,No,0
100128,1100128,m,10/26/2009,No,0
100129,1100129,f,08/12/2006,No,0
100130,1100130,m,09/20/2006,Yes,0
100131,1100131,m,07/09/2006,No,0
100132,1100132,m,12/22/2019,No,0
100133,1100133,m,09/30/2018,No,0
100134,1100134,f,02/09/2011,No,0
100135,1100135,f,09/23/2015,No,0
100136,1100136,f,10/17/2011,No,0
100137,1100137,f,12/22/2011,No,0
100138,1100138,m,11/18/2016,No,0
100139,1100139,f,05/27/2007,Yes,0
100140,1100140,m,06/11/2012,No,0
100141,1100141,m,10/27/2010,No,0
100142,1100142,m,08/08/2014,No,0
100143,1100143,f,01/01/2009,No,0
100144,1100144,f,05/15/2019,No,0
100145,1100145,m,12/20/2017,No,0
100146,1100146,m,02/11/2009,No,0
100147,1100147,f,06/19/2017,No,0
100148,1100148,f,06/06/2005,No,0
100149,1100149,m,04/03/2012,No,0
100150,1100150,f,02/06/2013,Yes,0
100151,1100151,m,09/03/2010,No,0
100152,1100152,f,11/05/2012,Yes,0
100153,1100153,f,10/17/2007,No,0
100154,1100154,f,07/18/2007,Yes,0
100155,1100155,f,03/06/2013,Yes,0
100156,1100156,f,10/16/2011,No,0
100157,1100157,m,03/27/2015,No,0
100158,1100158,m,11/19/2006,No,0
100159,1100159,f,08/06/2011,No,0
100160,1100160,m,05/24/2008,Yes,0
100161,1100161,m,02/22/2009,No,0
100162,1100162,f,07/31/2015,Yes,0
100163,1100163,f,09/14/2009,No,0
100164,1100164,f,03/01/2013,No,0
100165,1100165,f,02/20/2014,No,0
100166,1100166,f,03/06/2013,No,0
100167,1100167,m,02/10/2006,No,0
100168,1100168,f,06/23/2016,No,0
100169,1100169,m,08/25/2020,No,0
100170,1100170,f,08/13/2011,No,0
100171,1100171,m,07/31/2006,No,0
100172,1100172,f,10/23/2015,Yes,0
100173,1100173,f,06/11/2012,No,0
100174,1100174,f,08/17/2018,No,0
100175,1100175,f,11/08/2009,No,0
100176,1100176,m,10/17/2006,No,0
100177,1100177,m,11/26/2010,No,0
100178,1100178,m,04/07/2008,No,0
100179,1100179,f,03/27/2022,No,0
100180,1100180,f,07/26/2010,No,0
100181,1100181,m,05/16/2016,No,0
100182,1100182,f,01/16/2016,No,0
100183,1100183,f,02/09/2015,No,0
100184,1100184,m,08/19/2015,Yes,0
100185,1100185,m,02/25/2012,Yes,0
100186,1100186,f,03/12/2010,No,0
100187,1100187,m,05/08/2015,No,0
100188,1100188,f,09/20/2012,No,0
100189,1100189,m,02/02/2021,No,0
100190,1100190,f,01/27/2016,No,0
100191,1100191,f,07/02/2013,No,0
100192,1100192,f,10/24/2012,No,0
100193,1100193,m,07/22/2017,No,0
100194,1100194,f,01/24/2008,No,0
100195,1100195,m,05/17/2020,No,0
100196,1100196,f,03/15/2005,No,0
100197,1100197,f,01/29/2015,No,0
100198,1100198,f,12/13/2010,No,0
100199,1100199,m,11/23/2020,Yes,0
100200,1100200,f,01/03/2017,Yes,0
